# Variance report for acetime.acetz.acetz compared to Python 3.9
# zoneinfo.ZoneInfo.
#
# Context
# -------
# AceTimePython Version: 0.5.6
# AceTimePython ZoneDB Version: 2022g
# AceTimePython ZoneDB Start Year: 1900
# AceTimePython ZoneDB Until Year: 10000
# ZoneInfo Version: Python 3.9 2021e
# Report Start Year: 1950
# Report Until Year: 2100
#
# Report Format
# -------------
# Zone {zone_name}
# {seconds}: {date}: {label}: acetz {value}; zoneinfo {value}
# [...]

Zone Africa/Casablanca
2046304800: 2034-11-05 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2049933540: 2034-12-17 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2049933600: 2034-12-17 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2077149540: 2035-10-28 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2077149600: 2035-10-28 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2080778340: 2035-12-09 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2080778400: 2035-12-09 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2107994340: 2036-10-19 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2107994400: 2036-10-19 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2111018340: 2036-11-23 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2111018400: 2036-11-23 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2138234340: 2037-10-04 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2138234400: 2037-10-04 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2141863140: 2037-11-15 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2141863200: 2037-11-15 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2169079140: 2038-09-26 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2169079200: 2038-09-26 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2172707940: 2038-11-07 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2172708000: 2038-11-07 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2199923940: 2039-09-18 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2199924000: 2039-09-18 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2202947940: 2039-10-23 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2202948000: 2039-10-23 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2230163940: 2040-09-02 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2230164000: 2040-09-02 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2233792740: 2040-10-14 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2233792800: 2040-10-14 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2261008740: 2041-08-25 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2261008800: 2041-08-25 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2264032740: 2041-09-29 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2264032800: 2041-09-29 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2291248740: 2042-08-10 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2291248800: 2042-08-10 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2294877540: 2042-09-21 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2294877600: 2042-09-21 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2322093540: 2043-08-02 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2322093600: 2043-08-02 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2325722340: 2043-09-13 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2325722400: 2043-09-13 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2352938340: 2044-07-24 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2352938400: 2044-07-24 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2355962340: 2044-08-28 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2355962400: 2044-08-28 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2383178340: 2045-07-09 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2383178400: 2045-07-09 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2386807140: 2045-08-20 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2386807200: 2045-08-20 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2414023140: 2046-07-01 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2414023200: 2046-07-01 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2417651940: 2046-08-12 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2417652000: 2046-08-12 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2444867940: 2047-06-23 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2444868000: 2047-06-23 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2447891940: 2047-07-28 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2447892000: 2047-07-28 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2475107940: 2048-06-07 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2475108000: 2048-06-07 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2478736740: 2048-07-19 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2478736800: 2048-07-19 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2505952740: 2049-05-30 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2505952800: 2049-05-30 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2508976740: 2049-07-04 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2508976800: 2049-07-04 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2536192740: 2050-05-15 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2536192800: 2050-05-15 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2539821540: 2050-06-26 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2539821600: 2050-06-26 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2567037540: 2051-05-07 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2567037600: 2051-05-07 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2570666340: 2051-06-18 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2570666400: 2051-06-18 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2597882340: 2052-04-28 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2597882400: 2052-04-28 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2600906340: 2052-06-02 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2600906400: 2052-06-02 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2628122340: 2053-04-13 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2628122400: 2053-04-13 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2631751140: 2053-05-25 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2631751200: 2053-05-25 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2658967140: 2054-04-05 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2658967200: 2054-04-05 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2662595940: 2054-05-17 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2662596000: 2054-05-17 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2689811940: 2055-03-28 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2689812000: 2055-03-28 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2692835940: 2055-05-02 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2692836000: 2055-05-02 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2720051940: 2056-03-12 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2720052000: 2056-03-12 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2723680740: 2056-04-23 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2723680800: 2056-04-23 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2750896740: 2057-03-04 02:59:00+01:00: dst_offset: acetz 0; zoneinfo 3600
2750896800: 2057-03-04 02:00:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2753920740: 2057-04-08 01:59:00+00:00: dst_offset: acetz -3600; zoneinfo 0
2753920800: 2057-04-08 03:00:00+01:00: dst_offset: acetz 0; zoneinfo 3600
